,Municipality,Total,BE,CDS-PP,PAN,PCP-PEV,PPD/PSD,PS,Others,Winning_Party,Winning_Party_Fraction_Votes,Total_Number_People_x,Total_0-14,Total_15-65,Total_65>,Fraction_0-14,Fraction_15-65,Fraction_65>,Total_Number_People_y,Without_Education,Basic_First_Cycle,Basic_Second_Cycle,Basic_Third_Cycle,Secondary,Superior,Fraction_Without_Education,Fraction_Basic_First_Cycle,Fraction_Basic_Second_Cycle,Fraction_Basic_Third_Cycle,Fraction_Secondary,Fraction_Superior,Total_Average_income,Unemployment_%Rate,Unemployment_Rate,Coordinates,x,y
22,Vila Nova de Famalicão,74357,3173,7650,409.0,3218.0,30145.0,27675.0,2087.0,PPD/PSD,0.4054090401710666,134054,21353,94589,18112,0.15928655616393395,0.7056037119369806,0.13510973189908546,112215,9573,32200.0,20163.0,22038.0,16996.0,11245.0,0.08530945060820747,0.28694916009446153,0.17968186071380832,0.19639085683732121,0.15145925232812013,0.10020941941808136,762.3,9,0.09,"(41.41112589999999, -8.5237319)",41.411125899999995,-8.5237319
23,Vizela,12677,633,908,60.0,633.0,3441.0,6602.0,400.0,PS,0.520785674844206,23803,3930,17196,2678,0.1651052388354409,0.7224299458051506,0.11250682687056253,19758,1947,6784.0,3446.0,3906.0,2476.0,1199.0,0.0985423625873064,0.3433545905456018,0.17441036542160138,0.19769207409656847,0.12531632756351857,0.06068427978540338,616.5,10.1,0.10099999999999999,"(41.3764108, -8.309834799999999)",41.376410799999995,-8.309834799999999
24,Arouca,12368,311,2393,71.0,250.0,6378.0,2668.0,297.0,PPD/PSD,0.5156856403622251,22306,3418,14919,3970,0.15323231417555813,0.6688334977136197,0.17797901909800054,18896,2537,6273.0,3438.0,3123.0,2132.0,1393.0,0.13426121930567317,0.33197502116850125,0.1819432684165961,0.1652730736663844,0.11282811176968671,0.07371930567315833,645.0,4.4,0.044000000000000004,"(40.9321489, -8.245099)",40.9321489,-8.245099
25,Espinho,19729,1163,2053,177.0,1659.0,8092.0,6002.0,583.0,PPD/PSD,0.4101576359673577,31628,4113,21229,6286,0.1300429998735298,0.6712090552674845,0.1987479448589857,27743,2719,8545.0,3530.0,4947.0,4044.0,3958.0,0.09800670439390116,0.30800562304004614,0.12723930360811736,0.17831525069386872,0.14576649965757127,0.14266661860649532,749.8,15.6,0.156,"(41.0071914, -8.641033199999999)",41.007191399999996,-8.641033199999999
26,Gondomar,85434,5398,7915,922.0,8309.0,31413.0,28570.0,2907.0,PPD/PSD,0.3676873375939322,168266,25514,118031,24721,0.1516289684190508,0.7014548393614871,0.14691619221946203,142182,11149,40945.0,20441.0,29037.0,24791.0,15819.0,0.07841358259132661,0.2879759744552756,0.14376644019636803,0.2042241633962105,0.1743610302288616,0.11125880913195763,741.8,10.4,0.10400000000000001,"(41.13955989999999, -8.5291423)",41.1395599,-8.5291423
27,Maia,69962,4406,7780,808.0,4358.0,28592.0,21927.0,2091.0,PPD/PSD,0.4086789971698922,135634,22743,94833,18059,0.1676791954819588,0.6991830956839731,0.13314508161670377,112530,6634,27601.0,12891.0,22026.0,21851.0,21527.0,0.05895316804407714,0.24527681507153648,0.11455611836843509,0.19573447080778458,0.19417932995645606,0.19130009775171067,963.3,8.8,0.08800000000000001,"(41.2278891, -8.621049)",41.2278891,-8.621049000000001
28,Matosinhos,91721,6333,10173,1062.0,6692.0,32067.0,32772.0,2622.0,PS,0.3573009452579017,175735,25292,122306,28137,0.14392124505647708,0.6959683614533246,0.16011039349019832,150366,11185,40246.0,18208.0,27428.0,26279.0,27020.0,0.07438516685952941,0.26765359190242477,0.1210912041285929,0.18240825718579998,0.1747669020922283,0.17969487783142465,945.7,7.5,0.075,"(41.1844362, -8.696277499999999)",41.1844362,-8.696277499999999
29,Oliveira de Azeméis,35975,1866,4462,270.0,1200.0,16204.0,10919.0,1054.0,PPD/PSD,0.45042390548992356,68634,9387,47402,11846,0.13676894833464465,0.6906489495002477,0.17259667220328118,58932,5420,18867.0,10614.0,11371.0,7860.0,4800.0,0.0919704065702844,0.320148645896966,0.1801058847485237,0.19295119799090477,0.1333740582366117,0.08144980655670943,797.0,5.4,0.054000000000000006,"(40.8387294, -8.4769763)",40.8387294,-8.4769763
30,Paredes,45508,1397,4933,270.0,1930.0,21942.0,13674.0,1362.0,PPD/PSD,0.48215698338753626,87004,15789,61364,9852,0.1814744149694267,0.7053009057054848,0.11323617304951497,70716,6763,23256.0,13611.0,13444.0,8679.0,4963.0,0.09563606538831382,0.32886475479382316,0.19247412183947055,0.1901125629277674,0.12273035805192602,0.07018213699869902,686.2,9.7,0.09699999999999999,"(41.2053076, -8.3304861)",41.2053076,-8.330486099999998
31,Porto,139624,8474,18503,1851.0,11248.0,55466.0,40465.0,3617.0,PPD/PSD,0.39725262132584654,235554,28556,151056,55942,0.12122910245633697,0.6412797065640999,0.23749119097956306,209212,13814,50642.0,21333.0,35585.0,34853.0,52985.0,0.06602871728199147,0.2420606848555532,0.1019683383362331,0.1700906257767241,0.16659178249813586,0.25325985125136224,1060.7,10.1,0.10099999999999999,"(41.1579438, -8.629105299999999)",41.1579438,-8.6291053
